area,label,type,url,sourceDate,retrievedAt,retrievedDaysAgo,sourceAgeDays,freshnessAsOf,freshnessBand,freshnessReview,claim,notes
eip-registry,sources[0],meta-eip,https://eips.ethereum.org/EIPS/eip-7773,2024-09-26,2026-05-13,0,594,2026-05-13,fresh,Source was reviewed recently enough for the readiness export.,"EIP-7773 lists the EIPs formally scheduled, considered, declined, and proposed for inclusion in the Glamsterdam network upgrade; activation rows are not yet filled.",Treat this as the canonical status grouping for this local registry until the meta EIP changes. The sourceDate is the EIP creation date; use retrievedAt for current status grouping freshness.
eip-registry,sources[1],ethereum-roadmap,https://ethereum.org/roadmap/glamsterdam/,2026-04-13,2026-05-13,0,30,2026-05-13,fresh,Source was reviewed recently enough for the readiness export.,"ethereum.org describes Glamsterdam as an upcoming H1 2026 upgrade centered on ePBS, block-level access lists, scaling, and network sustainability, and points readers to Forkcast for latest status updates.",
eip-registry,sources[2],forkcast,https://forkcast.org/upgrade/glamsterdam/,,2026-05-13,0,,2026-05-13,fresh,Source was reviewed recently enough for the readiness export.,Forkcast is the status surface linked from ethereum.org and EF Checkpoint #9 for Glamsterdam feature summaries and status updates.,
eip-registry,sources[3],protocol-blog,https://blog.ethereum.org/2026/04/10/checkpoint-9,2026-04-10,2026-05-13,0,33,2026-05-13,fresh,Source was reviewed recently enough for the readiness export.,"EF Checkpoint #9 says scheduled features should almost certainly be in the upgrade, while considered features are likely but still depend on implementation complexity and progress of scheduled features.",
eip-registry,sources[4],protocol-blog,https://blog.ethereum.org/2026/05/02/soldogn-interop-recap,2026-05-02,2026-05-13,0,11,2026-05-13,fresh,Source was reviewed recently enough for the readiness export.,"The Soldogn interop recap reports a stable multi-client Glamsterdam devnet with ePBS, repricing, and block access list work, plus nearly all clients running together on glamsterdam-devnet-2 by Friday.",Interop/devnet progress is not a production client compatibility claim.
client-matrix,sources[0],public-interop-recap,https://blog.ethereum.org/2026/05/02/soldogn-interop-recap,2026-05-02,2026-05-13,0,11,2026-05-13,fresh,Source was reviewed recently enough for the readiness export.,"The Ethereum Foundation Soldogn recap says the week ended with a stable multi-client Glamsterdam devnet running the latest ePBS, repricing, and block access list specs, and that nearly all clients were running together on glamsterdam-devnet-2 with the external builders pipeline tested end-to-end.","This source supports devnet/interoperability context, not production release compatibility."
client-matrix,sources[1],public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,,2026-05-13,0,,2026-05-13,fresh,Source was reviewed recently enough for the readiness export.,"The EthPandaOps glamsterdam-devnet-2 spec lists a Kurtosis participants matrix with geth as the execution client image and prysm, lodestar, lighthouse, teku, nimbus, and grandine as consensus client images.",This source supports devnet participant examples. It does not claim mainnet-ready client releases.
client-matrix,sources[2],public-spec-release,https://github.com/ethereum/consensus-specs/releases/tag/v1.7.0-alpha.7,2026-04-29,2026-05-13,0,14,2026-05-13,fresh,Source was reviewed recently enough for the readiness export.,The consensus-specs v1.7.0-alpha.7 release is a pre-release containing Gloas changes used by the glamsterdam-devnet-2 spec.,"Spec release metadata is useful provenance for devnet test entries, but is not a client release."
client-matrix,sources[3],public-spec-release,https://github.com/ethereum/execution-spec-tests/releases/tag/bal%40v5.6.1,2026-04-02,2026-05-13,0,41,2026-05-13,fresh,Source was reviewed recently enough for the readiness export.,The execution-spec-tests bal@v5.6.1 pre-release is labeled for bal-devnet-3 v7 and includes BAL/state-gas test updates referenced by the glamsterdam-devnet-2 spec.,"Spec-test release metadata is useful provenance for devnet test entries, but is not a client release."
client-matrix,sources[4],public-client-release,https://github.com/ethereum/go-ethereum/releases/tag/v1.17.3,2026-05-11,2026-05-13,0,2,2026-05-13,fresh,Source was reviewed recently enough for the readiness export.,"Geth v1.17.3 release notes describe continued progress on the Amsterdam fork implementation, including prerequisites for EIP-7928, EIP-8037, EIP-7976, EIP-7981, EIP-7610, and updated state tests.",Client release-note provenance only. This does not assert complete Glamsterdam production compatibility.
